X_train,y_train
"[696, 4837, 798, 94, 661, 734, 139, 3, 2, 1964]","[7668, 14, 5, 1856, 1, 7, 2, 1289, 612, 1163]"
"[2, 285, 6, 1970, 1, 3396, 2, 1990, 4, 342]","[1, 963, 11, 2, 5381, 28, 84, 33, 21, 9602]"
"[52, 7, 2, 1955, 40, 87, 7914, 20, 1, 4586]","[6, 593, 2956, 20, 1009, 1, 3, 1, 1696, 1438]"
"[15, 1, 1840, 6, 2, 141, 27, 7, 172, 199]","[2498, 313, 555, 77, 218, 31, 81, 5, 562, 301]"
"[229, 12, 1886, 3, 3872, 5806, 1, 3, 76, 3239]","[122, 37, 2316, 14, 1, 759, 6, 12, 7021, 749]"
"[85, 5, 114, 38, 23, 37, 418, 9, 116, 73]","[484, 6, 390, 813, 2176, 210, 9, 47, 1988, 160]"
"[1421, 31, 3054, 1, 1418, 1, 12, 11, 1, 82]","[3, 1, 1398, 8586, 832, 83, 35, 6931, 1398, 5989]"
"[26, 1783, 4, 2, 208, 2613, 21, 2, 1, 3195]","[1608, 2, 211, 6244, 86, 1208, 64, 6, 64, 301]"
"[2, 6575, 10, 21, 1, 6, 29, 79, 76, 7445]","[9, 5, 4819, 7, 5, 704, 129, 3, 1573, 1]"
"[15, 307, 2, 702, 2820, 929, 80, 2247, 2, 336]","[673, 122, 403, 981, 21, 31, 89, 7, 8854, 830]"
"[259, 47, 6640, 11, 253, 1, 38, 2062, 13, 15]","[1, 237, 1314, 2637, 7, 1, 23, 2639, 2, 1078]"
"[132, 49, 1, 558, 2, 165, 203, 1, 1673, 453]","[569, 3, 22, 5, 8230, 692, 409, 2, 2939, 1017]"
"[53, 62, 2363, 219, 3, 1391, 3, 53, 7, 6780]","[2036, 1, 24, 54, 37, 2481, 20, 5, 8312, 817]"
"[2, 105, 6, 28, 105, 405, 96, 22, 72, 6769]","[1097, 343, 7, 102, 373, 1, 5047, 11, 9648, 1531]"
"[132, 1, 6, 1451, 1162, 48, 923, 4, 2, 64]","[7468, 6, 779, 2, 1, 1, 12, 3, 22, 3084]"
"[934, 234, 1908, 822, 86, 3966, 7, 2674, 1207, 927]","[1694, 2130, 4938, 2124, 3, 68, 40, 92, 3, 6865]"
"[4660, 1021, 2889, 2265, 35, 1195, 1, 1152, 2, 845]","[232, 21, 270, 4, 2, 173, 2, 546, 24, 16]"
"[6442, 1, 1, 6, 4439, 1, 1137, 3, 28, 207]","[2825, 1, 2, 2559, 5605, 1, 21, 2, 261, 1291]"
"[51, 85, 3, 23, 79, 76, 172, 3573, 28, 84]","[17, 768, 1, 83, 1, 525, 1791, 993, 2299, 1]"
"[2554, 105, 405, 17, 2, 1, 3984, 7, 8844, 9108]","[3, 2719, 1692, 2, 4483, 17, 3883, 833, 8680, 9121]"
"[7808, 33, 52, 198, 377, 21, 5168, 316, 4, 1]","[1, 1, 9941, 2380, 950, 1, 14, 1, 122, 1195]"
"[409, 20, 107, 1271, 138, 2864, 17, 5, 176, 978]","[941, 3, 136, 9, 5, 2097, 848, 4, 19, 4561]"
"[1278, 1, 65, 40, 1, 35, 692, 3, 1277, 65]","[6, 3469, 2, 1, 1, 62, 18, 2, 177, 1]"
"[138, 1536, 1, 1066, 2811, 1, 1137, 3, 28, 207]","[12, 7367, 2597, 559, 44, 4, 2, 1861, 3638, 1696]"
"[1344, 7, 28, 4082, 27, 4044, 119, 4, 2, 2251]","[856, 26, 2148, 3576, 3, 1, 6, 1, 13, 2171]"
"[1, 1, 15, 1066, 9849, 1, 1137, 3, 28, 207]","[3, 411, 5150, 4699, 7, 296, 902, 20, 451, 825]"
"[70, 31, 3, 99, 52, 81, 60, 2054, 33, 1098]","[2, 141, 10, 118, 2, 1994, 4, 978, 42, 1777]"
"[35, 1260, 128, 2112, 1522, 9, 76, 708, 4, 1123]","[878, 3, 612, 6, 1254, 144, 3, 5, 57, 202]"
"[6349, 615, 125, 23, 5, 189, 172, 4493, 17, 80]","[11, 151, 4396, 1, 114, 4, 615, 2953, 17, 1]"
"[18, 2, 3119, 1, 1, 4, 2, 4869, 257, 3788]","[6256, 4, 1, 3491, 23, 37, 7679, 536, 7, 540]"
"[3, 902, 2380, 569, 6, 1240, 7, 86, 716, 2578]","[1, 7, 811, 20, 7704, 43, 1506, 17, 1, 1]"
"[968, 8, 16, 96, 136, 1432, 4, 73, 3, 4011]","[8134, 3, 1, 11, 1001, 6, 1, 7, 2, 1033]"
"[1296, 18, 120, 2351, 1, 1, 1137, 3, 28, 207]","[34, 489, 106, 2678, 166, 5, 1, 1277, 18, 120]"
"[3042, 11, 307, 3, 1374, 2, 600, 4, 2, 312]","[36, 3, 1420, 21, 29, 4509, 7, 5, 1902, 4855]"
"[546, 7, 1212, 68, 2, 918, 5399, 6146, 1, 736]","[33, 480, 11, 2, 211, 555, 7, 1224, 25, 380]"
"[1, 180, 51, 1619, 117, 42, 7637, 7, 2, 285]","[546, 1, 376, 3, 4785, 1, 7, 19, 2437, 132]"
"[92, 26, 32, 43, 185, 22, 293, 3, 532, 16]","[37, 70, 1, 7, 208, 4, 4260, 5265, 7, 223]"
"[48, 28, 181, 49, 57, 90, 20, 1209, 5972, 77]","[5, 6600, 34, 2332, 3014, 1088, 15, 24, 37, 528]"
"[103, 3, 121, 16, 5, 1218, 1384, 558, 165, 203]","[1204, 157, 6, 12, 1361, 1, 9, 1, 2871, 667]"
"[19, 368, 24, 69, 2199, 5, 2697, 7, 1441, 497]","[497, 2, 240, 59, 15, 58, 30, 809, 5632, 1165]"
"[2166, 2730, 27, 9, 2, 2773, 4, 2, 235, 487]","[819, 38, 2, 1053, 273, 4, 2, 1895, 102, 373]"
"[2497, 1, 109, 4333, 1063, 2121, 79, 1, 1, 16]","[34, 27, 297, 6, 154, 30, 22, 5104, 35, 2754]"
"[155, 7, 2, 663, 617, 2, 5447, 1, 4, 1]","[176, 54, 218, 5, 1, 9780, 17, 151, 132, 4408]"
"[4, 2, 390, 1, 73, 4, 4504, 9, 1, 1]","[356, 7, 453, 415, 1, 1, 41, 398, 22, 4467]"
"[1858, 839, 1, 2072, 7, 478, 3, 281, 5, 6006]","[43, 2070, 2655, 1889, 3, 1916, 1021, 1, 867, 2025]"
"[6857, 4810, 521, 6738, 11, 17, 2, 2529, 5039, 542]","[36, 30, 100, 31, 5, 1595, 2139, 7, 559, 72]"
"[322, 109, 20, 8977, 3734, 1, 45, 1, 7, 454]","[2789, 45, 13, 100, 19, 1, 18, 5, 5455, 766]"
"[33, 1009, 7, 2, 5875, 26, 55, 33, 72, 1]","[374, 369, 1453, 6, 323, 5592, 247, 3, 1564, 555]"
"[1299, 1, 946, 16, 3, 281, 151, 1, 20, 5285]","[949, 1630, 4, 1492, 3, 191, 77, 1, 7137, 5013]"
"[2, 2215, 5965, 4, 2, 4272, 81, 2798, 88, 371]","[108, 7, 190, 311, 1, 12, 3983, 9736, 9, 1]"
"[1518, 15, 36, 1236, 7800, 584, 7304, 354, 76, 1266]","[5804, 1460, 136, 424, 2, 2397, 4476, 9, 656, 72]"
"[3, 22, 83, 607, 89, 25, 361, 7, 5, 3337]","[8, 43, 584, 1, 828, 3, 368, 7, 5, 3248]"
"[12, 339, 11, 198, 237, 2716, 92, 9279, 666, 1928]","[6, 12, 134, 1367, 3, 138, 31, 967, 234, 114]"
"[4, 28, 345, 26, 38, 27, 4149, 28, 1428, 2020]","[9, 1652, 238, 5, 4095, 224, 334, 7, 553, 1]"
"[114, 34, 23, 37, 100, 7907, 20, 28, 1, 573]","[1, 2, 562, 162, 2, 298, 6467, 4985, 6, 1]"
"[76, 290, 3726, 76, 7637, 715, 10, 131, 123, 2317]","[359, 3086, 26, 5936, 2, 1062, 9, 1, 7, 6188]"
"[6134, 576, 15, 32, 33, 1636, 6912, 14, 1, 228]","[4058, 103, 62, 1905, 7, 7203, 6, 10, 1670, 8522]"
"[947, 3358, 325, 256, 1325, 4542, 10, 54, 3549, 1]","[1, 7, 5, 1, 603, 1, 5539, 2035, 6, 4069]"
"[10, 112, 1015, 4, 60, 591, 4, 4661, 236, 673]","[1, 305, 1, 54, 100, 2523, 48, 1, 262, 339]"
"[1, 882, 954, 8, 5, 917, 1631, 64, 12, 489]","[4142, 64, 19, 460, 899, 48, 2, 1437, 1737, 662]"
"[2, 1904, 3667, 1039, 9, 5, 834, 1758, 111, 814]","[3436, 8305, 1100, 334, 17, 2, 527, 4149, 3885, 3459]"
"[6, 3237, 663, 18, 125, 18, 1, 824, 27, 1]","[6, 1960, 824, 537, 38, 5, 334, 11, 295, 189]"
"[1, 2851, 1, 6, 3589, 1, 1137, 3, 28, 207]","[5050, 1094, 36, 37, 3370, 11, 19, 2764, 6, 1]"
"[3461, 48, 110, 1, 163, 1716, 1, 1, 1525, 1]","[122, 37, 1133, 9, 47, 1646, 1, 1591, 2176, 210]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[12, 434, 81, 3886, 7, 96, 630, 14, 2139, 960]"
"[13, 2470, 5, 1, 7, 280, 1759, 21, 1, 291]","[1, 2, 1, 4, 2, 1, 4759, 1, 1204, 1]"
"[3429, 2, 169, 7, 66, 10, 5, 1773, 1, 781]","[1, 1, 38, 19, 1, 7882, 1405, 49, 4, 4208]"
"[1066, 2090, 1, 6, 322, 1, 1137, 3, 28, 207]","[1, 1791, 10, 292, 9, 19, 1, 6, 1, 4052]"
"[6, 1821, 146, 2225, 504, 7, 2, 906, 270, 1250]","[81, 2, 214, 4, 2, 1737, 1634, 372, 1275, 4867]"
"[426, 3073, 1, 44, 36, 1769, 2, 285, 7, 451]","[573, 3, 1761, 4214, 9407, 7, 1, 7, 296, 2132]"
"[1066, 1, 1, 6, 1, 1, 1137, 3, 28, 207]","[2896, 1, 1, 235, 7, 5, 8774, 14, 1107, 323]"
"[34, 484, 2, 1559, 12, 222, 1, 11, 1123, 1522]","[4072, 1, 53, 214, 3016, 53, 30, 2285, 484, 261]"
"[2, 527, 32, 6202, 43, 29, 22, 1, 7, 1]","[922, 12, 44, 4, 2, 991, 7915, 7, 102, 426]"
"[517, 18, 46, 4, 2, 993, 1, 7, 7805, 497]","[2509, 4, 1523, 26, 317, 7, 1342, 11, 78, 555]"
"[1066, 1, 4712, 6, 1, 1, 1137, 3, 28, 207]","[1480, 1, 202, 391, 401, 70, 2289, 267, 347, 9412]"
"[11, 307, 6, 10, 1, 67, 1644, 255, 276, 653]","[108, 5, 1758, 1, 1, 8334, 97, 21, 5, 1634]"
"[17, 1, 1564, 92, 1, 518, 211, 205, 3, 1]","[3, 5, 4802, 795, 64, 1, 8577, 11, 295, 189]"
"[1217, 50, 7523, 1784, 236, 228, 21, 2, 2487, 740]","[24, 2532, 302, 2062, 3, 531, 3, 1013, 1, 4357]"
"[83, 140, 4895, 2094, 9276, 42, 29, 5, 1, 1831]","[1, 3156, 66, 8, 13, 58, 368, 17, 5, 9305]"
"[790, 4, 3348, 225, 615, 4, 42, 821, 7, 479]","[11, 2, 1304, 770, 45, 15, 10, 380, 67, 251]"
"[651, 61, 81, 49, 484, 2, 838, 376, 61, 81]","[253, 7, 2, 3947, 25, 41, 22, 7, 231, 225]"
"[4093, 12, 111, 1, 9985, 11, 632, 393, 1, 4471]","[17, 39, 57, 1, 1590, 7, 5978, 2213, 11, 375]"
"[1985, 38, 27, 1303, 3, 1867, 904, 9, 672, 1669]","[1001, 1, 10, 7, 4890, 14, 2, 1, 75, 224]"
"[15, 56, 4, 123, 53, 34, 36, 784, 33, 129]","[582, 6787, 1, 1601, 1470, 4919, 24, 235, 1265, 4062]"
"[5, 1, 1, 121, 609, 142, 959, 90, 222, 1]","[4855, 6, 4810, 87, 5, 1, 2298, 81, 4809, 7]"
"[1759, 133, 2, 60, 942, 23, 1726, 8023, 126, 101]","[369, 65, 2, 930, 951, 3, 1, 9898, 10, 7473]"
"[15, 2, 491, 10, 593, 3, 90, 14, 2, 548]","[83, 2, 57, 2224, 12, 607, 3, 92, 14, 80]"
"[1, 4456, 48, 2, 1, 4, 3853, 50, 28, 682]","[1609, 249, 2, 183, 6685, 5878, 1079, 24, 73, 1917]"
"[887, 184, 150, 7, 30, 1003, 109, 622, 7, 653]","[19, 4157, 41, 181, 1487, 4469, 4, 2, 1, 146]"
"[6, 261, 7, 234, 6, 8708, 5393, 261, 7, 2705]","[25, 28, 12, 71, 1, 6, 1278, 1709, 83, 151]"
"[3, 3403, 372, 3, 98, 11, 740, 14, 2, 1]","[281, 5699, 393, 3, 421, 891, 4, 19, 2061, 481]"
"[611, 1999, 7, 5, 9488, 2326, 3, 2, 1, 2539]","[735, 3240, 64, 2, 9206, 7660, 2411, 9455, 1, 2324]"
"[7385, 21, 31, 233, 2357, 24, 1, 1127, 2, 538]","[45, 35, 10, 923, 13, 24, 1, 1124, 2, 468]"
"[2518, 1126, 17, 2, 2466, 921, 381, 104, 2, 6562]","[789, 3, 221, 6, 1961, 33, 7, 5, 722, 912]"
"[11, 2, 1205, 512, 92, 2, 587, 10, 5057, 14]","[1, 2, 7547, 4085, 46, 7214, 436, 21, 2, 3438]"
"[1, 1, 1, 1, 1, 1, 1157, 3230, 412, 1859]","[4834, 632, 48, 5, 8313, 601, 8, 1, 2, 102]"
"[54, 2, 1131, 1, 38, 162, 3, 988, 2, 1164]","[12, 2, 922, 177, 1049, 853, 122, 2, 4768, 9898]"
"[5250, 18, 2, 2500, 1591, 94, 1, 5, 259, 171]","[9089, 2436, 2514, 1, 2701, 6, 603, 1, 11, 309]"
"[7161, 12, 240, 40, 2, 181, 3002, 11, 871, 679]","[532, 18, 4913, 30, 1286, 3, 163, 9, 136, 4181]"
"[57, 513, 1, 2910, 8, 24, 3, 22, 62, 5256]","[43, 87, 3, 368, 7, 151, 1748, 44, 4039, 83]"
"[60, 7096, 221, 115, 139, 3, 2, 422, 5702, 277]","[134, 29, 1002, 4, 60, 4261, 5, 114, 7, 9774]"
"[7408, 105, 17, 46, 11, 890, 6, 1012, 454, 1614]","[72, 81, 2701, 87, 1987, 999, 6, 7991, 364, 3754]"
"[8709, 4, 42, 510, 840, 5664, 376, 61, 3196, 3698]","[612, 184, 1355, 3, 19, 1737, 3, 1988, 7, 223]"
"[20, 1, 1, 7, 2814, 2, 948, 215, 2132, 213]","[12, 7, 796, 3, 5135, 1718, 1344, 8134, 984, 1167]"
"[11, 142, 5042, 5, 359, 8, 7, 1255, 12, 5538]","[106, 1962, 554, 12, 607, 943, 4, 29, 2652, 1]"
"[2254, 17, 2, 4024, 1373, 7, 3526, 255, 890, 679]","[31, 2349, 10, 54, 8726, 1353, 6, 103, 9, 452]"
"[8, 12, 1482, 83, 498, 4316, 1264, 3, 5, 607]","[1528, 865, 8836, 18, 2, 440, 608, 1453, 3, 2317]"
"[6, 27, 82, 69, 668, 2, 1394, 6, 132, 275]","[477, 1995, 3374, 49, 1, 1, 1, 14, 29, 1]"
"[1087, 13, 10, 423, 17, 6215, 870, 11, 19, 1283]","[783, 50, 79, 871, 93, 329, 17, 4257, 279, 767]"
"[1985, 38, 27, 1303, 3, 1867, 904, 9, 672, 1669]","[3400, 6457, 949, 32, 33, 1353, 20, 3617, 6, 75]"
"[43, 554, 26, 7, 83, 181, 25, 23, 397, 1]","[391, 1, 128, 59, 1, 26, 172, 459, 9, 1]"
"[2586, 4384, 17, 2, 1367, 4, 2044, 7, 2, 698]","[20, 2, 1319, 139, 38, 427, 1351, 4, 3405, 479]"
"[5, 4900, 17, 5, 64, 4, 1498, 6369, 7, 802]","[2067, 4, 2334, 2968, 20, 644, 2206, 6, 192, 1]"
"[7, 213, 40, 87, 9602, 20, 5590, 2349, 3, 46]","[7, 776, 41, 22, 408, 7, 2866, 833, 1, 1703]"
"[6, 54, 1368, 2, 1, 4, 1, 1, 6, 1]","[275, 4, 29, 3124, 300, 1, 1, 7, 190, 2132]"
"[6, 231, 159, 1, 1696, 3, 893, 3, 2, 1491]","[5, 161, 38, 141, 1, 2345, 3426, 233, 157, 4798]"
"[1126, 11, 337, 45, 51, 23, 37, 2346, 6654, 2432]","[239, 1952, 2362, 53, 23, 5131, 19, 6450, 2461, 326]"
"[4, 2, 76, 256, 5, 156, 376, 6, 7166, 235]","[96, 23, 1, 42, 150, 584, 34, 24, 820, 1]"
"[214, 73, 81, 2, 4892, 4, 2, 2379, 6, 1]","[2282, 1600, 74, 611, 7, 1869, 1097, 619, 122, 5328]"
"[1, 2090, 1, 6, 6082, 1, 1137, 3, 28, 207]","[290, 3098, 1294, 1, 11, 2, 777, 93, 3079, 4307]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[528, 2, 1062, 2456, 2194, 18, 1, 471, 2117, 1]"
"[7052, 6, 1043, 69, 1, 5351, 7, 42, 74, 266]","[1, 6, 5, 1, 7, 906, 169, 430, 85, 438]"
"[11, 500, 21, 2, 1144, 277, 92, 2, 366, 1460]","[461, 34, 108, 2, 8242, 850, 11, 2, 4844, 2018]"
"[1, 3525, 1317, 133, 571, 6, 463, 34, 200, 494]","[1, 1068, 3454, 1, 41, 4394, 1195, 2, 423, 216]"
"[38, 4526, 16, 1066, 2387, 1, 1137, 3, 28, 207]","[2, 533, 4, 1, 2495, 119, 18, 1, 6, 1]"
"[6, 298, 1, 7, 1, 2638, 1137, 3, 28, 207]","[164, 180, 178, 15, 275, 2, 1069, 312, 12, 2793]"
"[1458, 138, 3, 328, 30, 6837, 819, 2, 597, 15]","[1, 106, 416, 770, 24, 37, 6678, 97, 7, 1457]"
"[8751, 47, 21, 19, 256, 104, 2, 1071, 1882, 501]","[7, 492, 246, 2329, 9, 2, 2070, 1569, 6003, 4268]"
"[500, 5, 541, 4091, 26, 8, 16, 2806, 925, 131]","[514, 98, 998, 168, 6, 10, 71, 321, 499, 857]"
"[115, 7, 138, 134, 1886, 9, 674, 6, 134, 1061]","[2562, 166, 1, 1632, 3, 4553, 22, 5, 2382, 672]"
"[4, 2, 5009, 1, 1, 548, 39, 1, 8675, 336]","[886, 3, 2846, 3, 809, 5, 130, 3059, 2888, 458]"
"[4, 2, 440, 3, 132, 66, 32, 145, 4, 16]","[216, 724, 530, 825, 12, 98, 3, 2, 446, 114]"
"[1, 1, 1, 6, 3268, 1, 1137, 3, 28, 207]","[436, 3285, 33, 267, 295, 7, 17, 327, 101, 1635]"
"[1, 168, 2, 5124, 5, 2679, 232, 14, 249, 497]","[1, 1338, 985, 3565, 1200, 4, 2, 609, 335, 761]"
"[2, 53, 7, 2, 842, 58, 62, 1908, 1264, 1]","[253, 25, 2703, 2, 111, 53, 470, 3, 138, 80]"
"[42, 1428, 1496, 1066, 1, 1, 1137, 3, 28, 207]","[10, 100, 5853, 1, 8897, 2297, 1888, 20, 2110, 4314]"
"[19, 721, 3, 4722, 1, 1422, 250, 7, 2, 847]","[2792, 12, 2151, 300, 2, 1252, 1082, 1, 21, 1]"
"[3602, 567, 5919, 5709, 21, 6165, 8104, 6, 7838, 1095]","[308, 38, 300, 1, 1897, 6266, 3450, 20, 1279, 947]"
"[3047, 32, 8369, 67, 2, 3367, 1390, 6, 8219, 746]","[12, 3, 158, 38, 1531, 6, 3705, 30, 1250, 1635]"
"[316, 3, 2, 3036, 7, 2, 284, 292, 4, 379]","[3, 1, 293, 221, 95, 13, 10, 1285, 6, 380]"
"[16, 24, 1, 14, 2, 854, 1011, 4, 2, 364]","[979, 8860, 20, 2440, 5, 565, 6503, 4, 8263, 2974]"
"[6183, 1, 1617, 1522, 2, 1, 7, 338, 7, 2222]","[3654, 12, 5337, 9, 321, 5, 1, 42, 5621, 2096]"
"[352, 21, 2334, 1, 52, 3, 305, 3307, 3580, 7050]","[186, 37, 88, 1306, 40, 23, 186, 8359, 9, 62]"
"[4, 28, 73, 6856, 6169, 80, 3, 2, 6856, 9796]","[1, 21, 125, 2, 102, 21, 1271, 3, 2, 1]"
"[2690, 50, 7, 228, 4, 39, 576, 7, 449, 308]","[2, 165, 101, 72, 14, 2, 2227, 4, 5, 1454]"
"[203, 14, 1, 4769, 6, 472, 1, 9, 119, 1]","[1266, 58, 230, 3, 2, 5948, 7, 1703, 6, 4074]"
"[3, 132, 3158, 249, 5238, 955, 575, 7894, 123, 2791]","[1, 9, 5, 860, 1800, 275, 2, 3116, 9265, 1]"
"[5486, 4380, 24, 37, 212, 4, 2, 6147, 126, 679]","[5, 376, 11, 247, 13, 41, 343, 17, 2, 4742]"
"[36, 15, 25, 69, 153, 162, 3, 22, 7, 55]","[14, 2, 8996, 265, 3, 794, 31, 21, 2, 9959]"
"[12, 787, 3, 2051, 4917, 6, 1615, 247, 2, 847]","[376, 321, 2706, 53, 22, 2, 113, 463, 3, 92]"
"[9349, 17, 1957, 3491, 7, 2565, 18, 5, 1, 475]","[109, 2, 2058, 3314, 18, 44, 4, 39, 5119, 5228]"
"[1, 2740, 2876, 1, 1, 1, 5191, 6, 2, 378]","[39, 440, 571, 21, 1, 7, 2, 6831, 64, 806]"
"[7, 1597, 17, 557, 6, 168, 28, 8992, 6, 1]","[1607, 1, 7, 2, 621, 4, 60, 306, 1880, 2955]"
"[2327, 2, 3365, 411, 3, 2242, 1, 510, 1, 466]","[7366, 21, 3758, 1, 452, 2162, 98, 65, 2, 1033]"
"[4, 2, 1426, 1, 3, 912, 3, 6, 21, 6512]","[37, 218, 11, 7, 2, 867, 105, 2, 3507, 2140]"
"[1, 7, 478, 3, 1884, 5, 1367, 4, 4652, 1]","[1526, 3, 2778, 4887, 1, 2082, 1708, 9, 5958, 4187]"
"[25, 57, 145, 8, 28, 12, 62, 1940, 6, 2111]","[75, 116, 13, 582, 635, 1204, 9, 2, 2672, 1]"
"[484, 6079, 8853, 32, 15, 53, 38, 385, 7, 213]","[9, 47, 61, 651, 72, 57, 311, 221, 176, 83]"
"[2, 245, 17, 997, 548, 3169, 126, 71, 73, 2303]","[703, 4, 2, 987, 5, 872, 4, 1917, 24, 16]"
"[292, 17, 1, 1818, 2090, 78, 186, 176, 28, 161]","[280, 4, 5, 221, 989, 357, 7, 1, 425, 97]"
"[2148, 3401, 647, 3, 124, 13, 432, 42, 29, 1684]","[69, 1, 6, 2703, 13, 154, 22, 288, 5, 712]"
"[2990, 48, 63, 1, 3, 2, 1074, 4, 2, 597]","[2941, 39, 1, 701, 9, 313, 11, 2, 3481, 983]"
"[41, 896, 11, 2725, 821, 58, 32, 35, 1, 81]","[2896, 4236, 75, 1160, 4190, 7, 1, 38, 925, 1]"
"[2, 1082, 206, 578, 14, 1200, 11, 393, 765, 223]","[717, 1577, 6, 9048, 8, 13, 522, 14, 234, 114]"
"[127, 107, 215, 2, 962, 4, 5, 1711, 6320, 1881]","[716, 321, 5, 7114, 1711, 3, 1, 1, 2, 1379]"
"[3, 19, 2329, 8249, 17, 2, 2973, 542, 7, 780]","[41, 137, 5, 965, 21, 3012, 3, 2060, 5, 1483]"
"[5, 4539, 11, 3358, 1624, 669, 4291, 24, 37, 1104]","[22, 2847, 3, 52, 14, 2787, 801, 1, 39, 8147]"
"[1, 1, 3185, 6, 4211, 240, 7, 1, 7, 213]","[1500, 511, 468, 8, 2, 638, 24, 1128, 19, 143]"
"[23, 777, 3688, 3491, 7292, 2082, 1754, 6, 1, 9663]","[1730, 765, 3048, 78, 2407, 679, 1, 1, 1, 9104]"
"[1, 15, 182, 10, 787, 9, 53, 34, 411, 16]","[24, 1416, 7, 4711, 6, 6690, 7, 2, 322, 84]"
"[476, 6, 10, 176, 892, 3, 19, 233, 7, 223]","[574, 38, 3097, 3, 111, 6, 370, 48, 86, 1745]"
"[57, 101, 1, 2, 5902, 11, 86, 8475, 1307, 1512]","[1, 1, 166, 39, 196, 1, 98, 6, 2275, 6237]"
"[120, 7, 780, 58, 13, 12, 5778, 18, 87, 1]","[1238, 134, 350, 8, 13, 41, 22, 304, 3, 441]"
"[2374, 38, 27, 8361, 18, 49, 147, 17, 2, 735]","[1032, 2, 807, 7, 199, 136, 21, 308, 165, 161]"
"[3, 532, 6, 2649, 2, 557, 4, 5, 1073, 9102]","[4569, 1, 41, 23, 3, 2150, 29, 2847, 960, 615]"
"[32, 1, 2, 712, 4, 2, 633, 11, 2, 5369]","[458, 1, 1, 12, 267, 3, 23, 1337, 2, 6822]"
"[203, 9, 5, 1, 40, 5, 1262, 3, 2, 3542]","[1043, 3623, 191, 14, 5, 7479, 1, 6, 1, 8871]"
"[4, 2, 105, 1390, 544, 207, 7, 234, 11, 311]","[1195, 1924, 1230, 11, 3403, 4, 3876, 1176, 1434, 7764]"
"[2918, 24, 286, 252, 399, 5, 691, 7, 19, 166]","[666, 7, 8634, 426, 23, 37, 3576, 25, 94, 711]"
"[3477, 27, 158, 589, 17, 1, 291, 7, 59, 1]","[10, 480, 11, 555, 4, 1984, 520, 6, 552, 2056]"
"[11, 1, 373, 1, 4, 2705, 7702, 558, 165, 203]","[1388, 4081, 6, 1084, 1, 9577, 12, 134, 17, 565]"
"[844, 6, 189, 1, 2, 1266, 4, 1, 7, 1000]","[8, 4247, 3, 1013, 5, 57, 3027, 4, 621, 4518]"
"[1985, 38, 27, 29, 686, 4359, 904, 11, 28, 1413]","[2, 938, 141, 12, 7021, 749, 17, 1, 448, 549]"
"[1023, 2555, 47, 7, 456, 60, 959, 3594, 21, 9034]","[428, 490, 2, 1071, 1337, 6, 734, 2, 548, 49]"
"[1786, 628, 58, 49, 98, 7, 49, 57, 157, 279]","[5, 1, 3, 2104, 1636, 9, 2, 485, 8179, 615]"
"[58, 42, 2, 7299, 1, 8, 27, 435, 2, 144]","[3538, 446, 7271, 1, 41, 1046, 47, 5807, 6, 1]"
"[25, 43, 185, 7691, 7, 30, 1, 14, 123, 1]","[12, 70, 602, 4, 80, 2686, 2451, 2, 2001, 83]"
"[918, 700, 3874, 1066, 1, 1, 1137, 3, 28, 207]","[1, 1, 95, 4359, 770, 471, 857, 4, 2, 476]"
"[4639, 8, 1051, 182, 1926, 6, 5963, 3, 486, 2051]","[1, 1, 1, 1, 12, 8960, 47, 1, 61, 106]"
"[17, 1006, 1038, 11, 5525, 7, 47, 61, 60, 73]","[24, 37, 3234, 18, 44, 4, 2, 241, 28, 348]"
"[6, 7095, 17, 2, 629, 14, 3176, 41, 72, 797]","[5, 7510, 2387, 7, 1, 24, 37, 778, 20, 75]"
"[4413, 1675, 2213, 12, 330, 14, 4498, 17, 2, 5479]","[66, 3260, 32, 36, 3, 1207, 7, 63, 3, 1]"
"[2, 2109, 4, 31, 838, 7, 1, 7, 2, 4304]","[1, 611, 4147, 1, 182, 2, 1, 1087, 5412, 611]"
"[2, 4212, 53, 7, 1134, 51, 513, 363, 2, 312]","[1883, 1197, 1, 604, 2429, 2, 298, 6, 1, 181]"
"[2, 2461, 117, 12, 4528, 18, 8801, 9, 2, 260]","[3826, 9, 2, 3265, 2745, 1, 273, 11, 964, 472]"
"[415, 220, 30, 2948, 4263, 6, 220, 69, 249, 1857]","[122, 1611, 6, 319, 71, 5989, 4, 439, 72, 392]"
"[1996, 1, 23, 190, 3, 2, 2602, 3, 420, 80]","[742, 14, 4321, 8, 77, 1116, 1, 6, 47, 1970]"
"[1303, 3, 182, 19, 256, 1027, 5, 375, 111, 5915]","[6088, 8822, 10, 720, 11, 9, 2, 67, 748, 490]"
"[5236, 10, 3122, 20, 120, 1254, 246, 7, 583, 213]","[5331, 10, 3118, 20, 120, 1222, 236, 7, 600, 223]"
"[115, 6, 33, 1, 8, 1807, 1536, 75, 151, 115]","[3802, 64, 2, 6873, 6, 5055, 1837, 65, 39, 224]"
"[987, 4, 4661, 6, 46, 4, 313, 30, 5010, 1075]","[104, 3692, 20, 562, 34, 16, 1956, 10, 5411, 5470]"
"[261, 21, 2705, 1066, 1825, 1, 1137, 3, 28, 207]","[3589, 3, 146, 14, 2, 136, 3, 435, 19, 438]"
